id,title,overview,vote_average,genres,release_date,user_ratings
718821,Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",6.987,"Action, Adventure, Thriller",2024-07-10,"6.0, 7.0, 6.0, 6.0, 10.0, 5.0, 4.0, 6.0"
1079091,It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",6.734,"Romance, Drama",2024-08-07,"6.0, 6.0, 8.0"
1115396,Hunting Games,"When a group of ex-military members is hired to retrieve a lost bag of stolen money, their mission becomes more difficult after a lone hunter finds the bag first.",3.8,"Action, Thriller, TV Movie",2023-05-12,
945961,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",7.1,"Horror, Science Fiction",2024-08-13,"8.0, 7.0, 6.0, 7.0"
5492,Gunner,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",5.4,"Action, Thriller, Crime",2024-08-16,3.0
1032823,Trap,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",6.53,"Crime, Thriller",2024-07-31,"2.0, 6.0, 6.0, 7.0, 1.0, 7.0, 4.0, 6.0, 6.0, 3.0"
1160018,Kill,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",6.791,"Action, Crime",2024-07-03,"7.0, 5.0"
748783,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",7.118,"Animation, Comedy, Family, Adventure, Action",2024-04-30,"6.0, 3.0, 7.0, 7.0, 7.0"
831815,Saving Bikini Bottom: The Sandy Cheeks Movie,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",6.402,"Animation, Comedy, Adventure, Family",2024-08-01,
704239,The Union,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,6.264,"Action, Comedy",2024-08-15,"4.0, 4.0, 3.0"
